# Temperatura_=_37.21
# Concentracion g/m^3_=_33330.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301690.20014779153

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-8.199764e-06	-2.061298e-08	-5.756491e+01	-1.352010e+03
1.000000e-08	-8.197190e-06	-2.061223e-08	-5.754684e+01	-1.351980e+03
2.000000e-08	-8.191867e-06	-2.060812e-08	-5.750947e+01	-1.351697e+03
3.000000e-08	-8.183960e-06	-2.060158e-08	-5.745396e+01	-1.351147e+03
4.000000e-08	-8.173230e-06	-2.059404e-08	-5.737863e+01	-1.350416e+03
5.000000e-08	-8.159519e-06	-2.058435e-08	-5.728237e+01	-1.349643e+03
6.000000e-08	-8.142890e-06	-2.057023e-08	-5.716563e+01	-1.348947e+03
7.000000e-08	-8.123623e-06	-2.054835e-08	-5.703038e+01	-1.348372e+03
8.000000e-08	-8.101866e-06	-2.053937e-08	-5.687763e+01	-1.347865e+03
9.000000e-08	-8.077160e-06	-2.057393e-08	-5.670419e+01	-1.347313e+03
1.000000e-07	-8.049191e-06	-2.057380e-08	-5.650784e+01	-1.346598e+03
1.100000e-07	-8.018101e-06	-2.053006e-08	-5.628958e+01	-1.345663e+03
1.200000e-07	-7.984111e-06	-2.050123e-08	-5.605095e+01	-1.344532e+03
1.300000e-07	-7.947413e-06	-2.049147e-08	-5.579332e+01	-1.343294e+03
1.400000e-07	-7.908366e-06	-2.044717e-08	-5.551920e+01	-1.342051e+03
1.500000e-07	-7.866989e-06	-2.039453e-08	-5.522872e+01	-1.340868e+03
1.600000e-07	-7.822817e-06	-2.044149e-08	-5.491862e+01	-1.339742e+03
1.700000e-07	-7.775812e-06	-2.039049e-08	-5.458863e+01	-1.338611e+03
1.800000e-07	-7.726080e-06	-2.038674e-08	-5.423950e+01	-1.337397e+03
1.900000e-07	-7.673273e-06	-2.039203e-08	-5.386877e+01	-1.336047e+03
2.000000e-07	-7.617450e-06	-2.030653e-08	-5.347688e+01	-1.334557e+03
2.100000e-07	-7.558835e-06	-2.030863e-08	-5.306539e+01	-1.332964e+03
2.200000e-07	-7.497500e-06	-2.026052e-08	-5.263480e+01	-1.331315e+03
2.300000e-07	-7.433598e-06	-2.024460e-08	-5.218618e+01	-1.329628e+03
2.400000e-07	-7.366933e-06	-2.022753e-08	-5.171817e+01	-1.327872e+03
2.500000e-07	-7.297444e-06	-2.019199e-08	-5.123034e+01	-1.325986e+03
2.600000e-07	-7.225227e-06	-2.016556e-08	-5.072335e+01	-1.323908e+03
2.700000e-07	-7.150232e-06	-2.011715e-08	-5.019686e+01	-1.321612e+03
2.800000e-07	-7.072428e-06	-2.008105e-08	-4.965066e+01	-1.319129e+03
2.900000e-07	-6.991804e-06	-2.002138e-08	-4.908465e+01	-1.316525e+03
3.000000e-07	-6.908625e-06	-1.999950e-08	-4.850071e+01	-1.313868e+03
3.100000e-07	-6.823196e-06	-1.997589e-08	-4.790097e+01	-1.311186e+03
3.200000e-07	-6.735526e-06	-1.992182e-08	-4.728550e+01	-1.308447e+03
3.300000e-07	-6.645493e-06	-1.987687e-08	-4.665344e+01	-1.305578e+03
3.400000e-07	-6.553035e-06	-1.981015e-08	-4.600436e+01	-1.302504e+03
3.500000e-07	-6.458187e-06	-1.975622e-08	-4.533849e+01	-1.299189e+03
3.600000e-07	-6.360964e-06	-1.970846e-08	-4.465596e+01	-1.295662e+03
3.700000e-07	-6.261431e-06	-1.965735e-08	-4.395720e+01	-1.291994e+03
3.800000e-07	-6.159648e-06	-1.960604e-08	-4.324265e+01	-1.288261e+03
3.900000e-07	-6.055661e-06	-1.955608e-08	-4.251264e+01	-1.284497e+03
4.000000e-07	-5.949520e-06	-1.950170e-08	-4.176749e+01	-1.280666e+03
4.100000e-07	-5.841220e-06	-1.942304e-08	-4.100719e+01	-1.276682e+03
4.200000e-07	-5.730807e-06	-1.934800e-08	-4.023206e+01	-1.272452e+03
4.300000e-07	-5.618210e-06	-1.927782e-08	-3.944159e+01	-1.267928e+03
4.400000e-07	-5.503385e-06	-1.921788e-08	-3.863548e+01	-1.263139e+03
4.500000e-07	-5.386474e-06	-1.915105e-08	-3.781473e+01	-1.258168e+03
4.600000e-07	-5.267573e-06	-1.907362e-08	-3.698001e+01	-1.253113e+03
4.700000e-07	-5.146692e-06	-1.899292e-08	-3.613139e+01	-1.248016e+03
4.800000e-07	-5.023917e-06	-1.890741e-08	-3.526947e+01	-1.242833e+03
4.900000e-07	-4.899359e-06	-1.882224e-08	-3.439503e+01	-1.237448e+03
5.000000e-07	-4.773048e-06	-1.873141e-08	-3.350829e+01	-1.231721e+03
5.100000e-07	-4.645045e-06	-1.863879e-08	-3.260967e+01	-1.225568e+03
5.200000e-07	-4.515366e-06	-1.854232e-08	-3.169928e+01	-1.219000e+03
5.300000e-07	-4.384058e-06	-1.844356e-08	-3.077746e+01	-1.212124e+03
5.400000e-07	-4.251160e-06	-1.833354e-08	-2.984447e+01	-1.205081e+03
5.500000e-07	-4.116685e-06	-1.821223e-08	-2.890042e+01	-1.197968e+03
5.600000e-07	-3.980694e-06	-1.809432e-08	-2.794571e+01	-1.190774e+03
5.700000e-07	-3.843180e-06	-1.798237e-08	-2.698033e+01	-1.183380e+03
5.800000e-07	-3.704188e-06	-1.786912e-08	-2.600456e+01	-1.175609e+03
5.900000e-07	-3.563775e-06	-1.774124e-08	-2.501882e+01	-1.167319e+03
6.000000e-07	-3.421926e-06	-1.760521e-08	-2.402299e+01	-1.158479e+03
6.100000e-07	-3.278650e-06	-1.746611e-08	-2.301715e+01	-1.149179e+03
6.200000e-07	-3.134099e-06	-1.732284e-08	-2.200236e+01	-1.139582e+03
6.300000e-07	-2.988444e-06	-1.717090e-08	-2.097981e+01	-1.129821e+03
6.400000e-07	-2.841770e-06	-1.701170e-08	-1.995012e+01	-1.119911e+03
6.500000e-07	-2.694105e-06	-1.685390e-08	-1.891346e+01	-1.109720e+03
6.600000e-07	-2.545568e-06	-1.669092e-08	-1.787068e+01	-1.099024e+03
6.700000e-07	-2.396231e-06	-1.651476e-08	-1.682229e+01	-1.087614e+03
6.800000e-07	-2.246014e-06	-1.632372e-08	-1.576772e+01	-1.075404e+03
6.900000e-07	-2.094942e-06	-1.612713e-08	-1.470715e+01	-1.062474e+03
7.000000e-07	-1.943214e-06	-1.592693e-08	-1.364197e+01	-1.049023e+03
7.100000e-07	-1.790870e-06	-1.571965e-08	-1.257247e+01	-1.035239e+03
7.200000e-07	-1.637784e-06	-1.550113e-08	-1.149775e+01	-1.021173e+03
7.300000e-07	-1.483969e-06	-1.527134e-08	-1.041793e+01	-1.006666e+03
7.400000e-07	-1.329612e-06	-1.503192e-08	-9.334289e+00	-9.914049e+02
7.500000e-07	-1.174895e-06	-1.477884e-08	-8.248130e+00	-9.750542e+02
7.600000e-07	-1.019762e-06	-1.451045e-08	-7.159051e+00	-9.574218e+02
7.700000e-07	-8.641963e-07	-1.422377e-08	-6.066928e+00	-9.385447e+02
7.800000e-07	-7.083289e-07	-1.392504e-08	-4.972690e+00	-9.186401e+02
7.900000e-07	-5.522657e-07	-1.361376e-08	-3.877078e+00	-8.979307e+02
8.000000e-07	-3.960163e-07	-1.328199e-08	-2.780159e+00	-8.764315e+02
8.100000e-07	-2.395810e-07	-1.292344e-08	-1.681934e+00	-8.538193e+02
8.200000e-07	-8.305020e-08	-1.254088e-08	-5.830383e-01	-8.294786e+02
8.300000e-07	7.352304e-08	-1.213357e-08	5.161547e-01	-8.027220e+02
8.400000e-07	2.300815e-07	-1.169131e-08	1.615244e+00	-7.730755e+02
8.500000e-07	3.865187e-07	-1.120553e-08	2.713482e+00	-7.404472e+02
8.600000e-07	5.428486e-07	-1.067074e-08	3.810967e+00	-7.050158e+02
8.700000e-07	6.990492e-07	-1.008161e-08	4.907544e+00	-6.667898e+02
8.800000e-07	8.549745e-07	-9.423516e-09	6.002188e+00	-6.249629e+02
8.900000e-07	1.010498e-06	-8.671574e-09	7.094010e+00	-5.773415e+02
9.000000e-07	1.165643e-06	-7.787806e-09	8.183180e+00	-5.201737e+02
9.100000e-07	1.320441e-06	-6.722853e-09	9.269911e+00	-4.486177e+02
9.200000e-07	1.474774e-06	-5.384240e-09	1.035338e+01	-3.578646e+02
9.300000e-07	1.628593e-06	-3.645981e-09	1.143323e+01	-2.446591e+02
9.400000e-07	1.781787e-06	-1.500719e-09	1.250870e+01	-1.087488e+02
9.500000e-07	1.934263e-06	8.562426e-10	1.357913e+01	4.625835e+01
9.600000e-07	2.086037e-06	3.273927e-09	1.464463e+01	2.130088e+02
9.700000e-07	2.237096e-06	5.730857e-09	1.570512e+01	3.815631e+02
9.800000e-07	2.387407e-06	8.165282e-09	1.676034e+01	5.413239e+02
9.900000e-07	2.536800e-06	1.041035e-08	1.780913e+01	6.831818e+02
1.000000e-06	2.685226e-06	1.222857e-08	1.885112e+01	8.012508e+02
1.010000e-06	2.832714e-06	1.355882e-08	1.988654e+01	8.937016e+02
1.020000e-06	2.979181e-06	1.453543e-08	2.091478e+01	9.625117e+02
1.030000e-06	3.124593e-06	1.527741e-08	2.193562e+01	1.012308e+03
1.040000e-06	3.268884e-06	1.585382e-08	2.294859e+01	1.048753e+03
1.050000e-06	3.411992e-06	1.631086e-08	2.395325e+01	1.077020e+03
1.060000e-06	3.553807e-06	1.668833e-08	2.494884e+01	1.100800e+03
1.070000e-06	3.694244e-06	1.700881e-08	2.593474e+01	1.122021e+03
1.080000e-06	3.833372e-06	1.728430e-08	2.691147e+01	1.141210e+03
1.090000e-06	3.971133e-06	1.752314e-08	2.787859e+01	1.158180e+03
1.100000e-06	4.107312e-06	1.773401e-08	2.883462e+01	1.172716e+03
1.110000e-06	4.241911e-06	1.792684e-08	2.977954e+01	1.184972e+03
1.120000e-06	4.374964e-06	1.810363e-08	3.071361e+01	1.195517e+03
1.130000e-06	4.506478e-06	1.826194e-08	3.163688e+01	1.205089e+03
1.140000e-06	4.636457e-06	1.840452e-08	3.254938e+01	1.214288e+03
1.150000e-06	4.764740e-06	1.853834e-08	3.344997e+01	1.223358e+03
1.160000e-06	4.891348e-06	1.866774e-08	3.433879e+01	1.232177e+03
1.170000e-06	5.016293e-06	1.879182e-08	3.521595e+01	1.240429e+03
1.180000e-06	5.139466e-06	1.890522e-08	3.608066e+01	1.247842e+03
1.190000e-06	5.260792e-06	1.900907e-08	3.693241e+01	1.254361e+03
1.200000e-06	5.380165e-06	1.910762e-08	3.777044e+01	1.260181e+03
1.210000e-06	5.497492e-06	1.920281e-08	3.859411e+01	1.265637e+03
1.220000e-06	5.612707e-06	1.928982e-08	3.940295e+01	1.271027e+03
1.230000e-06	5.725710e-06	1.936699e-08	4.019627e+01	1.276477e+03
1.240000e-06	5.836605e-06	1.944183e-08	4.097479e+01	1.281903e+03
1.250000e-06	5.945516e-06	1.951729e-08	4.173938e+01	1.287094e+03
1.260000e-06	6.052348e-06	1.959112e-08	4.248938e+01	1.291848e+03
1.270000e-06	6.157019e-06	1.966105e-08	4.322420e+01	1.296092e+03
1.280000e-06	6.259486e-06	1.972810e-08	4.394355e+01	1.299917e+03
1.290000e-06	6.359660e-06	1.979292e-08	4.464680e+01	1.303516e+03
1.300000e-06	6.457455e-06	1.985163e-08	4.533335e+01	1.307075e+03
1.310000e-06	6.552896e-06	1.990337e-08	4.600338e+01	1.310672e+03
1.320000e-06	6.646087e-06	1.995196e-08	4.665761e+01	1.314244e+03
1.330000e-06	6.737014e-06	1.999944e-08	4.729595e+01	1.317634e+03
1.340000e-06	6.825517e-06	2.004726e-08	4.791726e+01	1.320690e+03
1.350000e-06	6.911668e-06	2.009408e-08	4.852207e+01	1.323360e+03
1.360000e-06	6.995484e-06	2.013783e-08	4.911048e+01	1.325720e+03
1.370000e-06	7.076730e-06	2.018004e-08	4.968086e+01	1.327938e+03
1.380000e-06	7.155389e-06	2.022137e-08	5.023307e+01	1.330177e+03
1.390000e-06	7.231427e-06	2.025927e-08	5.076688e+01	1.332512e+03
1.400000e-06	7.304682e-06	2.029299e-08	5.128115e+01	1.334887e+03
1.410000e-06	7.375306e-06	2.032360e-08	5.177695e+01	1.337154e+03
1.420000e-06	7.443386e-06	2.035285e-08	5.225490e+01	1.339156e+03
1.430000e-06	7.508712e-06	2.038132e-08	5.271350e+01	1.340816e+03
1.440000e-06	7.571372e-06	2.040800e-08	5.315340e+01	1.342182e+03
1.450000e-06	7.631494e-06	2.043320e-08	5.357547e+01	1.343403e+03
1.460000e-06	7.688938e-06	2.045895e-08	5.397875e+01	1.344649e+03
1.470000e-06	7.743574e-06	2.048583e-08	5.436231e+01	1.346024e+03
1.480000e-06	7.795116e-06	2.051024e-08	5.472415e+01	1.347511e+03
1.490000e-06	7.843493e-06	2.052993e-08	5.506377e+01	1.348986e+03
1.500000e-06	7.889097e-06	2.054691e-08	5.538393e+01	1.350281e+03
1.510000e-06	7.931958e-06	2.056340e-08	5.568483e+01	1.351284e+03
1.520000e-06	7.971904e-06	2.057912e-08	5.596526e+01	1.351990e+03
1.530000e-06	8.009125e-06	2.059334e-08	5.622656e+01	1.352505e+03
1.540000e-06	8.043588e-06	2.060654e-08	5.646850e+01	1.352989e+03
1.550000e-06	8.075154e-06	2.062009e-08	5.669010e+01	1.353569e+03
1.560000e-06	8.103949e-06	2.063308e-08	5.689226e+01	1.354274e+03
