# 260528_14:57:09.648381
t	CH1	CH2
0.000000e+00	-5.012729e-03	4.845844e-01
1.000000e-08	-7.664430e-03	1.989687e-01
2.000000e-08	-4.211071e-03	-1.042881e-01
3.000000e-08	8.289477e-03	-3.383959e-01
4.000000e-08	3.016530e-04	-6.616089e-01
5.000000e-08	5.225084e-03	-8.957894e-01
6.000000e-08	-1.392866e-03	-1.178474e+00
7.000000e-08	2.030504e-03	-1.474766e+00
8.000000e-08	5.836039e-05	-1.756269e+00
9.000000e-08	2.313926e-02	-1.948373e+00
1.000000e-07	9.754504e-02	-2.280065e+00
1.100000e-07	3.207526e-02	-2.630504e+00
1.200000e-07	-6.637372e-02	-3.022029e+00
1.300000e-07	-1.009513e-02	-3.336396e+00
1.400000e-07	-3.988362e-02	-3.588321e+00
1.500000e-07	-5.150148e-02	-3.822501e+00
1.600000e-07	-2.158264e-02	-4.031655e+00
1.700000e-07	1.617143e-01	-4.201024e+00
1.800000e-07	-1.457167e-01	-4.484290e+00
1.900000e-07	1.459676e-01	-4.801021e+00
2.000000e-07	-3.238627e-02	-5.055108e+00
2.100000e-07	-5.229127e-02	-5.484584e+00
2.200000e-07	1.006878e-01	-5.653700e+00
2.300000e-07	-1.568928e-01	-5.971475e+00
2.400000e-07	1.662346e-01	-6.251553e+00
2.500000e-07	-7.260381e-02	-6.527234e+00
2.600000e-07	3.842311e-02	-6.801480e+00
2.700000e-07	2.713855e-02	-7.072055e+00
2.800000e-07	-8.548129e-02	-7.369421e+00
2.900000e-07	1.165172e-01	-7.590553e+00
3.000000e-07	-1.104325e-01	-7.895235e+00
3.100000e-07	1.227408e-01	-8.137396e+00
3.200000e-07	-4.402597e-02	-8.369416e+00
3.300000e-07	2.217807e-02	-8.685138e+00
3.400000e-07	4.086175e-02	-8.906788e+00
3.500000e-07	-8.349134e-02	-9.159393e+00
3.600000e-07	8.844448e-02	-9.318368e+00
3.700000e-07	-6.951366e-02	-9.600001e+00
3.800000e-07	1.120718e-01	-9.821151e+00
3.900000e-07	-5.890449e-02	-1.005268e+01
4.000000e-07	5.059095e-02	-1.032631e+01
4.100000e-07	-2.667028e-02	-1.050739e+01
4.200000e-07	9.934833e-03	-1.074037e+01
4.300000e-07	2.666686e-02	-1.089579e+01
4.400000e-07	-1.823746e-02	-1.112889e+01
4.500000e-07	5.492280e-02	-1.135834e+01
4.600000e-07	-2.672632e-02	-1.162042e+01
4.700000e-07	5.031910e-02	-1.177999e+01
4.800000e-07	-3.879168e-02	-1.198205e+01
4.900000e-07	3.730628e-02	-1.218097e+01
5.000000e-07	-1.256068e-02	-1.235043e+01
5.100000e-07	4.401950e-02	-1.257047e+01
5.200000e-07	4.366884e-04	-1.272522e+01
5.300000e-07	1.473387e-02	-1.291876e+01
5.400000e-07	9.857296e-05	-1.302421e+01
5.500000e-07	1.013814e-02	-1.323353e+01
5.600000e-07	1.467867e-02	-1.335992e+01
5.700000e-07	6.637538e-03	-1.355782e+01
5.800000e-07	2.478769e-02	-1.368426e+01
5.900000e-07	1.098865e-02	-1.384366e+01
6.000000e-07	2.287410e-02	-1.396037e+01
6.100000e-07	-2.709189e-03	-1.412729e+01
6.200000e-07	1.267775e-02	-1.423416e+01
6.300000e-07	6.112927e-03	-1.435989e+01
6.400000e-07	2.940278e-02	-1.450629e+01
6.500000e-07	1.457039e-02	-1.462257e+01
6.600000e-07	2.031842e-02	-1.469634e+01
6.700000e-07	7.267713e-03	-1.480944e+01
6.800000e-07	1.895353e-02	-1.490729e+01
6.900000e-07	1.472629e-02	-1.497099e+01
7.000000e-07	1.706128e-02	-1.509573e+01
7.100000e-07	1.691558e-02	-1.510934e+01
7.200000e-07	2.241899e-02	-1.521150e+01
7.300000e-07	2.388430e-02	-1.529521e+01
7.400000e-07	1.729977e-02	-1.534842e+01
7.500000e-07	1.625121e-02	-1.539158e+01
7.600000e-07	1.836406e-02	-1.543361e+01
7.700000e-07	2.898825e-02	-1.556636e+01
7.800000e-07	2.750504e-02	-1.556884e+01
7.900000e-07	2.610661e-02	-1.558007e+01
8.000000e-07	2.330711e-02	-1.563245e+01
8.100000e-07	2.826472e-02	-1.565350e+01
8.200000e-07	2.970693e-02	-1.565368e+01
8.300000e-07	3.027845e-02	-1.570310e+01
8.400000e-07	3.323438e-02	-1.566676e+01
8.500000e-07	3.974831e-02	-1.568558e+01
8.600000e-07	4.535669e-02	-1.565511e+01
8.700000e-07	4.568218e-02	-1.565408e+01
8.800000e-07	4.576688e-02	-1.560508e+01
8.900000e-07	5.443346e-02	-1.564203e+01
9.000000e-07	6.739499e-02	-1.563140e+01
9.100000e-07	8.284979e-02	-1.555936e+01
9.200000e-07	9.960683e-02	-1.554731e+01
9.300000e-07	1.317793e-01	-1.550374e+01
9.400000e-07	1.820094e-01	-1.542360e+01
9.500000e-07	2.388317e-01	-1.539947e+01
9.600000e-07	2.496999e-01	-1.524626e+01
9.700000e-07	2.500000e-01	-1.523210e+01
9.800000e-07	2.500000e-01	-1.517892e+01
9.900000e-07	2.307510e-01	-1.507723e+01
1.000000e-06	1.604602e-01	-1.502050e+01
1.010000e-06	1.041253e-01	-1.489584e+01
1.020000e-06	7.356395e-02	-1.484208e+01
1.030000e-06	5.561233e-02	-1.478941e+01
1.040000e-06	4.361619e-02	-1.464371e+01
1.050000e-06	3.202099e-02	-1.450484e+01
1.060000e-06	2.604241e-02	-1.438102e+01
1.070000e-06	2.238167e-02	-1.429676e+01
1.080000e-06	2.098035e-02	-1.413789e+01
1.090000e-06	1.376396e-02	-1.403205e+01
1.100000e-06	1.310445e-02	-1.388623e+01
1.110000e-06	1.163525e-02	-1.369734e+01
1.120000e-06	1.506893e-02	-1.359095e+01
1.130000e-06	1.370520e-02	-1.346308e+01
1.140000e-06	7.387536e-03	-1.331616e+01
1.150000e-06	8.300298e-03	-1.312684e+01
1.160000e-06	5.248229e-03	-1.297995e+01
1.170000e-06	7.575990e-03	-1.277900e+01
1.180000e-06	3.208162e-03	-1.266208e+01
1.190000e-06	4.974568e-03	-1.247410e+01
1.200000e-06	6.535739e-03	-1.226318e+01
1.210000e-06	7.308480e-03	-1.208429e+01
1.220000e-06	3.703287e-03	-1.186618e+01
1.230000e-06	1.517384e-03	-1.169468e+01
1.240000e-06	5.653638e-04	-1.149158e+01
1.250000e-06	2.825280e-03	-1.125105e+01
1.260000e-06	2.249198e-03	-1.102300e+01
1.270000e-06	2.232561e-03	-1.079102e+01
1.280000e-06	1.419856e-03	-1.062160e+01
1.290000e-06	2.261196e-03	-1.038900e+01
1.300000e-06	1.197728e-03	-1.016897e+01
1.310000e-06	-3.163313e-04	-9.918365e+00
1.320000e-06	-6.027991e-04	-9.716315e+00
1.330000e-06	-9.474489e-04	-9.557287e+00
1.340000e-06	-4.171645e-04	-9.292109e+00
1.350000e-06	-1.897657e-03	-9.053078e+00
1.360000e-06	-2.792409e-03	-8.851054e+00
1.370000e-06	-3.157598e-03	-8.558392e+00
1.380000e-06	-1.862483e-03	-8.304738e+00
1.390000e-06	-8.082256e-04	-8.082682e+00
1.400000e-06	-1.413035e-03	-7.768949e+00
1.410000e-06	-2.932154e-03	-7.527233e+00
1.420000e-06	-3.778790e-03	-7.252712e+00
1.430000e-06	-4.619249e-03	-6.987948e+00
1.440000e-06	-4.742835e-03	-6.737312e+00
1.450000e-06	-4.543639e-03	-6.473208e+00
1.460000e-06	-3.284626e-03	-6.219975e+00
1.470000e-06	-4.034439e-03	-5.966313e+00
1.480000e-06	-4.115414e-03	-5.683584e+00
1.490000e-06	-4.779824e-03	-5.358372e+00
1.500000e-06	-5.940759e-03	-5.024082e+00
1.510000e-06	-5.693199e-03	-4.727312e+00
1.520000e-06	-4.765410e-03	-4.451635e+00
1.530000e-06	-5.368136e-03	-4.251080e+00
1.540000e-06	-5.600932e-03	-3.918316e+00
1.550000e-06	-6.972849e-03	-3.642103e+00
1.560000e-06	-6.340462e-03	-3.379946e+00
1.570000e-06	-7.139182e-03	-3.114842e+00
1.580000e-06	-6.767874e-03	-2.808571e+00
1.590000e-06	-7.090091e-03	-2.506838e+00
1.600000e-06	-4.958174e-03	-2.251101e+00
1.610000e-06	-6.606947e-03	-1.926789e+00
1.620000e-06	-7.304859e-03	-1.652158e+00
1.630000e-06	-9.901711e-03	-1.376847e+00
1.640000e-06	-9.450986e-03	-1.030499e+00
1.650000e-06	-8.238660e-03	-7.163697e-01
1.660000e-06	-7.883925e-03	-4.516004e-01
1.670000e-06	-6.542349e-03	-1.899698e-01
1.680000e-06	-1.143588e-03	1.152643e-01
1.690000e-06	6.337629e-03	4.110765e-01
1.700000e-06	-4.440145e-03	6.832355e-01
1.710000e-06	1.226748e-03	9.037195e-01
1.720000e-06	-6.677340e-03	1.253205e+00
1.730000e-06	-6.031155e-04	1.495316e+00
1.740000e-06	-3.776776e-03	1.822033e+00
1.750000e-06	1.504975e-02	2.011653e+00
1.760000e-06	6.039517e-02	2.304792e+00
1.770000e-06	7.118024e-02	2.650036e+00
1.780000e-06	-7.554495e-02	2.958893e+00
1.790000e-06	-3.519142e-02	3.221133e+00
1.800000e-06	-4.242468e-02	3.579394e+00
1.810000e-06	-2.063634e-02	3.781000e+00
1.820000e-06	-7.504452e-02	4.010529e+00
1.830000e-06	2.455642e-02	4.245183e+00
1.840000e-06	8.962482e-02	4.558897e+00
1.850000e-06	-1.063680e-01	4.835078e+00
1.860000e-06	1.370528e-01	5.143816e+00
1.870000e-06	-6.726788e-02	5.451686e+00
1.880000e-06	-3.698101e-02	5.716363e+00
1.890000e-06	3.379808e-02	6.000076e+00
1.900000e-06	-4.427605e-02	6.253061e+00
1.910000e-06	6.975975e-02	6.525365e+00
1.920000e-06	-6.940960e-02	6.831079e+00
1.930000e-06	1.689386e-02	7.064158e+00
1.940000e-06	-2.106397e-02	7.360947e+00
1.950000e-06	-7.603353e-03	7.663086e+00
1.960000e-06	3.631341e-03	7.897763e+00
1.970000e-06	-4.084179e-02	8.210551e+00
1.980000e-06	5.358096e-02	8.431100e+00
1.990000e-06	-2.680453e-02	8.641132e+00
2.000000e-06	-5.525229e-04	8.853733e+00
2.010000e-06	-2.609672e-02	9.127813e+00
2.020000e-06	-3.412843e-02	9.368399e+00
2.030000e-06	2.703240e-02	9.600998e+00
2.040000e-06	-1.047834e-02	9.832631e+00
2.050000e-06	9.260857e-03	1.007424e+01
2.060000e-06	-3.865825e-02	1.030361e+01
2.070000e-06	1.234420e-02	1.050781e+01
2.080000e-06	-1.775363e-02	1.071827e+01
2.090000e-06	-1.433352e-02	1.091882e+01
2.100000e-06	-1.719834e-02	1.112787e+01
2.110000e-06	-9.693475e-03	1.138797e+01
2.120000e-06	1.378960e-02	1.158087e+01
2.130000e-06	-1.946403e-02	1.175998e+01
2.140000e-06	-1.628694e-02	1.199047e+01
2.150000e-06	-2.876118e-02	1.217995e+01
2.160000e-06	4.675501e-03	1.234729e+01
2.170000e-06	-5.015813e-03	1.254839e+01
2.180000e-06	-1.176238e-02	1.267634e+01
2.190000e-06	-2.229673e-02	1.290468e+01
2.200000e-06	-1.453088e-02	1.303416e+01
2.210000e-06	-6.507265e-03	1.322095e+01
2.220000e-06	-2.007191e-02	1.333797e+01
2.230000e-06	-2.157505e-02	1.349429e+01
2.240000e-06	-1.485577e-02	1.368621e+01
2.250000e-06	3.889598e-04	1.381050e+01
2.260000e-06	-9.927224e-03	1.396085e+01
2.270000e-06	-2.589889e-02	1.409534e+01
2.280000e-06	-2.748632e-02	1.422508e+01
2.290000e-06	-1.602188e-02	1.438947e+01
2.300000e-06	-8.361933e-03	1.448371e+01
2.310000e-06	-2.093022e-02	1.461110e+01
2.320000e-06	-2.535246e-02	1.471576e+01
2.330000e-06	-1.921149e-02	1.481253e+01
2.340000e-06	-1.338265e-02	1.487523e+01
2.350000e-06	-2.165039e-02	1.495795e+01
2.360000e-06	-3.094328e-02	1.509408e+01
2.370000e-06	-2.443989e-02	1.514636e+01
2.380000e-06	-1.714196e-02	1.521150e+01
2.390000e-06	-1.685337e-02	1.527611e+01
