# 260528_14:50:38.900647
t	CH1	CH2
0.000000e+00	1.742188e-04	-1.799449e-01
1.000000e-08	1.048737e-02	-4.210514e-01
2.000000e-08	-4.232964e-03	-7.373172e-01
3.000000e-08	3.525518e-03	-9.919726e-01
4.000000e-08	-4.363790e-03	-1.306737e+00
5.000000e-08	2.724353e-03	-1.569973e+00
6.000000e-08	1.112683e-02	-1.833129e+00
7.000000e-08	8.595562e-02	-2.065708e+00
8.000000e-08	7.999384e-02	-2.444727e+00
9.000000e-08	-8.962054e-02	-2.869211e+00
1.000000e-07	-9.729092e-03	-3.234733e+00
1.100000e-07	-5.364817e-02	-3.474211e+00
1.200000e-07	-6.218831e-02	-3.677206e+00
1.300000e-07	1.902766e-02	-3.956817e+00
1.400000e-07	1.293211e-01	-4.106764e+00
1.500000e-07	-1.719352e-01	-4.424157e+00
1.600000e-07	2.026684e-01	-4.738341e+00
1.700000e-07	-1.143114e-01	-4.933025e+00
1.800000e-07	3.627473e-02	-5.412024e+00
1.900000e-07	3.662829e-02	-5.614103e+00
2.000000e-07	-1.517473e-01	-5.950344e+00
2.100000e-07	1.989236e-01	-6.191074e+00
2.200000e-07	-1.292906e-01	-6.447261e+00
2.300000e-07	1.136052e-01	-6.801946e+00
2.400000e-07	-4.888377e-02	-7.076160e+00
2.500000e-07	-5.160079e-02	-7.390446e+00
2.600000e-07	1.062530e-01	-7.591906e+00
2.700000e-07	-1.258351e-01	-7.939444e+00
2.800000e-07	1.562354e-01	-8.201974e+00
2.900000e-07	-1.117696e-01	-8.394178e+00
3.000000e-07	8.226410e-02	-8.708439e+00
3.100000e-07	-1.972692e-03	-8.959366e+00
3.200000e-07	-6.660000e-02	-9.202180e+00
3.300000e-07	6.309585e-02	-9.422758e+00
3.400000e-07	-8.267842e-02	-9.676362e+00
3.500000e-07	1.400708e-01	-9.907837e+00
3.600000e-07	-8.624704e-02	-1.014044e+01
3.700000e-07	7.861988e-02	-1.039113e+01
3.800000e-07	-7.652259e-02	-1.063360e+01
3.900000e-07	4.378086e-02	-1.082416e+01
4.000000e-07	-7.504905e-03	-1.106323e+01
4.100000e-07	-5.764407e-03	-1.131476e+01
4.200000e-07	2.584953e-02	-1.149479e+01
4.300000e-07	-2.012928e-02	-1.173847e+01
4.400000e-07	5.289879e-02	-1.198047e+01
4.500000e-07	-4.546715e-02	-1.215900e+01
4.600000e-07	2.943032e-02	-1.233844e+01
4.700000e-07	-3.200690e-02	-1.252999e+01
4.800000e-07	5.434978e-02	-1.272946e+01
4.900000e-07	-1.194212e-02	-1.292731e+01
5.000000e-07	1.601788e-02	-1.311479e+01
5.100000e-07	-2.295209e-02	-1.324568e+01
5.200000e-07	1.663917e-02	-1.344463e+01
5.300000e-07	2.974767e-03	-1.357113e+01
5.400000e-07	8.554977e-03	-1.378003e+01
5.500000e-07	3.529444e-03	-1.387784e+01
5.600000e-07	1.216279e-02	-1.410724e+01
5.700000e-07	1.891873e-02	-1.421471e+01
