# Temperatura_=_31.79
# Concentracion g/m^3_=_19800.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301690.0804120569

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-8.162232e-06	-2.049327e-08	-5.756356e+01	-1.343413e+03
1.000000e-08	-8.159320e-06	-2.048635e-08	-5.754302e+01	-1.343424e+03
2.000000e-08	-8.153708e-06	-2.048172e-08	-5.750344e+01	-1.343164e+03
3.000000e-08	-8.145473e-06	-2.047839e-08	-5.744536e+01	-1.342631e+03
4.000000e-08	-8.134469e-06	-2.047050e-08	-5.736776e+01	-1.341926e+03
5.000000e-08	-8.120547e-06	-2.046019e-08	-5.726957e+01	-1.341200e+03
6.000000e-08	-8.103621e-06	-2.044874e-08	-5.715021e+01	-1.340572e+03
7.000000e-08	-8.084039e-06	-2.043424e-08	-5.701210e+01	-1.340067e+03
8.000000e-08	-8.061926e-06	-2.043221e-08	-5.685615e+01	-1.339610e+03
9.000000e-08	-8.036869e-06	-2.042780e-08	-5.667945e+01	-1.339066e+03
1.000000e-07	-8.008612e-06	-2.042245e-08	-5.648016e+01	-1.338319e+03
1.100000e-07	-7.977276e-06	-2.041122e-08	-5.625917e+01	-1.337331e+03
1.200000e-07	-7.943071e-06	-2.038523e-08	-5.601794e+01	-1.336164e+03
1.300000e-07	-7.906195e-06	-2.035847e-08	-5.575787e+01	-1.334947e+03
1.400000e-07	-7.866984e-06	-2.032108e-08	-5.548134e+01	-1.333808e+03
1.500000e-07	-7.825391e-06	-2.031983e-08	-5.518801e+01	-1.332805e+03
1.600000e-07	-7.781002e-06	-2.029484e-08	-5.487496e+01	-1.331906e+03
1.700000e-07	-7.733795e-06	-2.026457e-08	-5.454204e+01	-1.330999e+03
1.800000e-07	-7.683760e-06	-2.027535e-08	-5.418917e+01	-1.329959e+03
1.900000e-07	-7.630699e-06	-2.022731e-08	-5.381496e+01	-1.328704e+03
2.000000e-07	-7.574771e-06	-2.020659e-08	-5.342053e+01	-1.327234e+03
2.100000e-07	-7.516095e-06	-2.018111e-08	-5.300672e+01	-1.325612e+03
2.200000e-07	-7.454755e-06	-2.013967e-08	-5.257413e+01	-1.323923e+03
2.300000e-07	-7.390790e-06	-2.012444e-08	-5.212302e+01	-1.322217e+03
2.400000e-07	-7.324026e-06	-2.009597e-08	-5.165217e+01	-1.320477e+03
2.500000e-07	-7.254529e-06	-2.007841e-08	-5.116205e+01	-1.318633e+03
2.600000e-07	-7.182344e-06	-2.003474e-08	-5.065296e+01	-1.316600e+03
2.700000e-07	-7.107390e-06	-2.000172e-08	-5.012436e+01	-1.314331e+03
2.800000e-07	-7.029617e-06	-1.995153e-08	-4.957587e+01	-1.311850e+03
2.900000e-07	-6.949027e-06	-1.990962e-08	-4.900751e+01	-1.309235e+03
3.000000e-07	-6.865915e-06	-1.988434e-08	-4.842138e+01	-1.306579e+03
3.100000e-07	-6.780569e-06	-1.983860e-08	-4.781948e+01	-1.303933e+03
3.200000e-07	-6.692897e-06	-1.980522e-08	-4.720118e+01	-1.301281e+03
3.300000e-07	-6.602832e-06	-1.975622e-08	-4.656600e+01	-1.298542e+03
3.400000e-07	-6.510424e-06	-1.971007e-08	-4.591430e+01	-1.295618e+03
3.500000e-07	-6.415696e-06	-1.965672e-08	-4.524623e+01	-1.292447e+03
3.600000e-07	-6.318625e-06	-1.960451e-08	-4.456165e+01	-1.289035e+03
3.700000e-07	-6.219163e-06	-1.955326e-08	-4.386020e+01	-1.285454e+03
3.800000e-07	-6.117436e-06	-1.950096e-08	-4.314278e+01	-1.281794e+03
3.900000e-07	-6.013586e-06	-1.945016e-08	-4.241038e+01	-1.278109e+03
4.000000e-07	-5.907622e-06	-1.938440e-08	-4.166308e+01	-1.274384e+03
4.100000e-07	-5.799500e-06	-1.932201e-08	-4.090056e+01	-1.270535e+03
4.200000e-07	-5.689262e-06	-1.925455e-08	-4.012311e+01	-1.266456e+03
4.300000e-07	-5.576880e-06	-1.919268e-08	-3.933055e+01	-1.262079e+03
4.400000e-07	-5.462341e-06	-1.912589e-08	-3.852277e+01	-1.257412e+03
4.500000e-07	-5.345722e-06	-1.905375e-08	-3.770032e+01	-1.252531e+03
4.600000e-07	-5.227078e-06	-1.897769e-08	-3.686359e+01	-1.247541e+03
4.700000e-07	-5.106456e-06	-1.889933e-08	-3.601292e+01	-1.242502e+03
4.800000e-07	-4.983980e-06	-1.881693e-08	-3.514916e+01	-1.237392e+03
4.900000e-07	-4.859702e-06	-1.872937e-08	-3.427270e+01	-1.232103e+03
5.000000e-07	-4.733682e-06	-1.864352e-08	-3.338395e+01	-1.226497e+03
5.100000e-07	-4.606016e-06	-1.855312e-08	-3.248360e+01	-1.220478e+03
5.200000e-07	-4.476689e-06	-1.845975e-08	-3.157153e+01	-1.214045e+03
5.300000e-07	-4.345763e-06	-1.835751e-08	-3.064818e+01	-1.207302e+03
5.400000e-07	-4.213229e-06	-1.825044e-08	-2.971350e+01	-1.200394e+03
5.500000e-07	-4.079182e-06	-1.813889e-08	-2.876814e+01	-1.193434e+03
5.600000e-07	-3.943686e-06	-1.802628e-08	-2.781256e+01	-1.186421e+03
5.700000e-07	-3.806659e-06	-1.791087e-08	-2.684619e+01	-1.179236e+03
5.800000e-07	-3.668212e-06	-1.779070e-08	-2.586980e+01	-1.171688e+03
5.900000e-07	-3.528345e-06	-1.766724e-08	-2.488340e+01	-1.163613e+03
6.000000e-07	-3.386979e-06	-1.753910e-08	-2.388643e+01	-1.154956e+03
6.100000e-07	-3.244293e-06	-1.740694e-08	-2.288014e+01	-1.145803e+03
6.200000e-07	-3.100447e-06	-1.726774e-08	-2.186568e+01	-1.136330e+03
6.300000e-07	-2.955423e-06	-1.712168e-08	-2.084291e+01	-1.126698e+03
6.400000e-07	-2.809160e-06	-1.696945e-08	-1.981140e+01	-1.116954e+03
6.500000e-07	-2.661870e-06	-1.681191e-08	-1.877265e+01	-1.106984e+03
6.600000e-07	-2.513793e-06	-1.664491e-08	-1.772834e+01	-1.096558e+03
6.700000e-07	-2.364926e-06	-1.646853e-08	-1.667847e+01	-1.085437e+03
6.800000e-07	-2.215230e-06	-1.628715e-08	-1.562275e+01	-1.073498e+03
6.900000e-07	-2.064755e-06	-1.610178e-08	-1.456153e+01	-1.060794e+03
7.000000e-07	-1.913584e-06	-1.590663e-08	-1.349541e+01	-1.047515e+03
7.100000e-07	-1.761742e-06	-1.569793e-08	-1.242456e+01	-1.033874e+03
7.200000e-07	-1.609214e-06	-1.548024e-08	-1.134887e+01	-1.019958e+03
7.300000e-07	-1.456076e-06	-1.525379e-08	-1.026887e+01	-1.005649e+03
7.400000e-07	-1.302466e-06	-1.501743e-08	-9.185546e+00	-9.906475e+02
7.500000e-07	-1.148368e-06	-1.476765e-08	-8.098785e+00	-9.746080e+02
7.600000e-07	-9.938086e-07	-1.450496e-08	-7.008764e+00	-9.573046e+02
7.700000e-07	-8.389359e-07	-1.422838e-08	-5.916535e+00	-9.387387e+02
7.800000e-07	-6.837674e-07	-1.393612e-08	-4.822220e+00	-9.191110e+02
7.900000e-07	-5.283405e-07	-1.362695e-08	-3.726084e+00	-8.986602e+02
8.000000e-07	-3.727351e-07	-1.329686e-08	-2.628688e+00	-8.774449e+02
8.100000e-07	-2.169387e-07	-1.294761e-08	-1.529945e+00	-8.551937e+02
8.200000e-07	-6.105871e-08	-1.257578e-08	-4.306122e-01	-8.313240e+02
8.300000e-07	9.485209e-08	-1.217390e-08	6.689376e-01	-8.051441e+02
8.400000e-07	2.507998e-07	-1.173493e-08	1.768748e+00	-7.761392e+02
8.500000e-07	4.066253e-07	-1.125699e-08	2.867696e+00	-7.441638e+02
8.600000e-07	5.622295e-07	-1.073571e-08	3.965083e+00	-7.093668e+02
8.700000e-07	7.175974e-07	-1.015901e-08	5.060804e+00	-6.717858e+02
8.800000e-07	8.726783e-07	-9.513588e-09	6.154501e+00	-6.307141e+02
8.900000e-07	1.027454e-06	-8.777590e-09	7.246048e+00	-5.841073e+02
9.000000e-07	1.181894e-06	-7.916617e-09	8.335222e+00	-5.283617e+02
9.100000e-07	1.335950e-06	-6.876841e-09	9.421689e+00	-4.587166e+02
9.200000e-07	1.489522e-06	-5.567858e-09	1.050475e+01	-3.703220e+02
9.300000e-07	1.642460e-06	-3.874777e-09	1.158333e+01	-2.597372e+02
9.400000e-07	1.794747e-06	-1.783039e-09	1.265732e+01	-1.264052e+02
9.500000e-07	1.946404e-06	5.493689e-10	1.372688e+01	2.642530e+01
9.600000e-07	2.097458e-06	2.972029e-09	1.479217e+01	1.917261e+02
