# Temperatura_=_57.19377049180327
# Concentracion g/m^3_=_19800.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301664.5482523139
# Promedio de 61 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-8.175012e-09	-1.941432e-08	-5.756432e+01	-1.275865e+03
1.000000e-08	-8.172175e-09	-1.941242e-08	-5.754434e+01	-1.275342e+03
2.000000e-08	-8.166638e-09	-1.940433e-08	-5.750536e+01	-1.274525e+03
3.000000e-08	-8.158520e-09	-1.939439e-08	-5.744819e+01	-1.273612e+03
4.000000e-08	-8.147559e-09	-1.938489e-08	-5.737101e+01	-1.272789e+03
5.000000e-08	-8.133602e-09	-1.937361e-08	-5.727273e+01	-1.272139e+03
6.000000e-08	-8.116713e-09	-1.935613e-08	-5.715381e+01	-1.271588e+03
7.000000e-08	-8.097257e-09	-1.932717e-08	-5.701681e+01	-1.270962e+03
8.000000e-08	-8.075382e-09	-1.933497e-08	-5.686278e+01	-1.270077e+03
9.000000e-08	-8.050523e-09	-1.938108e-08	-5.668773e+01	-1.268854e+03
1.000000e-07	-8.022363e-09	-1.935337e-08	-5.648944e+01	-1.267357e+03
1.100000e-07	-7.991149e-09	-1.929339e-08	-5.626965e+01	-1.265757e+03
1.200000e-07	-7.957026e-09	-1.926483e-08	-5.602937e+01	-1.264242e+03
1.300000e-07	-7.920172e-09	-1.924855e-08	-5.576987e+01	-1.262902e+03
1.400000e-07	-7.880988e-09	-1.918812e-08	-5.549396e+01	-1.261687e+03
1.500000e-07	-7.839462e-09	-1.913495e-08	-5.520155e+01	-1.260432e+03
1.600000e-07	-7.795189e-09	-1.917322e-08	-5.488980e+01	-1.258947e+03
1.700000e-07	-7.748118e-09	-1.910723e-08	-5.455835e+01	-1.257131e+03
1.800000e-07	-7.698288e-09	-1.911501e-08	-5.420748e+01	-1.255021e+03
1.900000e-07	-7.645399e-09	-1.910496e-08	-5.383506e+01	-1.252774e+03
2.000000e-07	-7.589539e-09	-1.900577e-08	-5.344172e+01	-1.250571e+03
2.100000e-07	-7.530897e-09	-1.900336e-08	-5.302879e+01	-1.248513e+03
2.200000e-07	-7.469575e-09	-1.894588e-08	-5.259699e+01	-1.246551e+03
2.300000e-07	-7.405674e-09	-1.893180e-08	-5.214703e+01	-1.244508e+03
2.400000e-07	-7.338975e-09	-1.888297e-08	-5.167737e+01	-1.242170e+03
2.500000e-07	-7.269516e-09	-1.882892e-08	-5.118828e+01	-1.239402e+03
2.600000e-07	-7.197361e-09	-1.879727e-08	-5.068020e+01	-1.236223e+03
2.700000e-07	-7.122410e-09	-1.874960e-08	-5.015243e+01	-1.232802e+03
2.800000e-07	-7.044631e-09	-1.871476e-08	-4.960475e+01	-1.229362e+03
2.900000e-07	-6.964037e-09	-1.863280e-08	-4.903725e+01	-1.226064e+03
3.000000e-07	-6.880932e-09	-1.860124e-08	-4.845207e+01	-1.222913e+03
3.100000e-07	-6.795593e-09	-1.855826e-08	-4.785115e+01	-1.219753e+03
3.200000e-07	-6.707992e-09	-1.849527e-08	-4.723431e+01	-1.216358e+03
3.300000e-07	-6.617990e-09	-1.843132e-08	-4.660056e+01	-1.212554e+03
3.400000e-07	-6.525584e-09	-1.835364e-08	-4.594988e+01	-1.208321e+03
3.500000e-07	-6.430857e-09	-1.831239e-08	-4.528287e+01	-1.203812e+03
3.600000e-07	-6.333773e-09	-1.826538e-08	-4.459925e+01	-1.199268e+03
3.700000e-07	-6.234333e-09	-1.819944e-08	-4.389904e+01	-1.194884e+03
3.800000e-07	-6.132657e-09	-1.811311e-08	-4.318309e+01	-1.190691e+03
3.900000e-07	-6.028792e-09	-1.804234e-08	-4.245173e+01	-1.186527e+03
4.000000e-07	-5.922751e-09	-1.797465e-08	-4.170504e+01	-1.182117e+03
4.100000e-07	-5.814597e-09	-1.789010e-08	-4.094347e+01	-1.177213e+03
4.200000e-07	-5.704348e-09	-1.780719e-08	-4.016716e+01	-1.171739e+03
